Asset,GLA,Rent,Walt
A1,1278,11549.92,4.75
A10,905,7816,2.4
A15,1157,7322.28,
A2,1546,18833.33,
A3,1357,9812.53,
A4,1058,10104.53,
A5,1026,7957.6,
A6,1045,10760,
A7,1056,10970.93,
A8,1663,15865.97,
AA1,1508,17666.66,
AA10,1162,12028.69,
AA100,1086,9374.2,
AA101,1046,9546.51,
AA102,1580,16505,
AA103,1045,12300,
AA104,2654,30675.13,
AA105,1046,9489,
AA106,1086,9792.16,
AA107,1469,11183.26,
AA108,1754,15771.92,
AA109,1333,15190.61,
AA11,1110,16495.82,
AA110,1032,14789.98,
AA111,1617,21602.2,
AA112,1498,15186.15,
AA113,1027,10757.28,
AA114,1410,11447.89,
AA115,1308,7862.66,
AA116,1224,4843.35,
AA117,1170,9805.86,
AA119,1558,18239.88,
AA12,1469,16276.86,
AA120,570,4817.416667,
AA121,1338,16667.25,
AA122,1274,15660.41667,
AA123,1493,24590,
AA124,1453,18407.64,
AA125,1101,13013.05333,
AA127,3713,28446.76,
AA129,2070,20487.58333,
AA13,1469,19132.74,
AA130,1506,19708.34,
AA131,1328,18364.56,
AA132,1028,7437.52,
AA133,931,13640.85,
AA134,1260,14318.4,
AA135,1097,14230.95333,
AA137,12308,131387.92,
AA138,1071,11113.66667,
AA139,1045,12413.86,
AA14,1369,15989.49,
AA140,1060,12853.74,
AA141,1050,11752.78,
AA142,1028,10958.07,
AA143,2973,28339.67,
AA144,11624,122638.0267,
AA145,2739,40597.81,
AA146,3231,25206.12,
AA147,1012,11988.79,
AA148,1437,20303.41667,
AA15,1246,14572.22,
AA152,1060,13229.51,
AA153,247,2698.03,
AA154,1322,15791.47,
AA155,12546,85033.8,
AA157,1489,14683.87333,
AA158,2885,38528.44333,
AA159,1083,11997.68,
AA16,1278,15658.12,
AA160,1492,17280,
AA161,1005,10711.16667,
AA162,990,10995.33333,
AA163,1227,12256.33333,
AA164,1819,20910.05333,
AA165,1238,10000,
AA166,1720,9417.86,
AA167,2455,29661.31667,
AA168,1339,10822.83333,
AA169,1154,11514.98,
AA17,2528,19840.22,
AA170,1042,11597.46,
AA171,2324,24630.21,
AA172,1117,13098.53,
AA173,1427,23684.14,
AA174,7279,9735.29,
AA175,1107,11550.25,
AA176,1096,17927.18,
AA177,1028,14229.7,
AA178,1325,17854,
AA179,2807,20593.42,
AA18,1241,14792.27,
AA180,1277,19161.39,
AA181,1063,12445.09,
AA182,1082,13401.01,
AA183,2081,17568.83,
AA184,1976,19333.53,
AA185,1125,11437.38,
AA186,1101,14047.91667,
AA187,1072,12838.73,
AA19,1057,13205.41,
AA2,1213,15305.88,
AA20,1298,16639.06,
AA21,1519,19176.46,
AA22,1117,17303.29,
AA23,1483,18168.93,
AA24,1376,15040.98,
AA25,1407,17189.04,
AA26,1073,16347.22,
AA27,1214,14984.91,
AA28,1073,12260.96,
AA29,1323,16638.01,
AA3,1103,17475.75,
AA30,1338,15443.47,
AA31,1549,15707.31,
AA32,8978,87052.13,
AA33,1050,0,
AA34,1005,19079.94,
AA35,1236,8790.33,
AA36,1000,14088.17,
AA37,1268,11908.35,
AA38,1155,11367.59,
AA4,1368,16087.05,
AA43,13467,113611.61,
AA46,8824,120077.72,
AA47,4027,49587.79,
AA48,3838,31209.45,
AA49,5693,62070.38,
AA5,1179,15107.98,
AA50,1345,20658.16,
AA51,1534,24082.04,
AA52,1207,12000,
AA53,1185,14570.61,
AA54,1687,25575.19,
AA55,2479,27036.75,
AA56,2636,30902.11667,
AA57,1929,26264.9,
AA58,1069,15412.23,
AA59,1252,18232,
AA6,1058,11458.01,
AA60,1143,15519.76,
AA61,1418,17324.68,
AA62,1191,14239.41,
AA63,1396,20036.54,
AA64,1305,16663.25,
AA65,1137,16331.91,
AA66,2197,26364.2,
AA67,2349,26467.65,
AA68,2195,25598.73,
AA69,1890,12428.59,
AA7,1264,14691.64,
AA70,1980,15227.17,
AA71,3250,45090.63667,
AA72,2474,26243.01,
AA73,1702,0,
AA74,1921,19217.5,
AA75,1810,16783.13,
AA76,1046,9546.51,
AA77,1088,11724.38,
AA78,1146,11026.24,
AA79,3339,34689.09667,
AA80,1044,9930.05,
AA81,1089,10178.45,
AA82,1086,10150.41,
AA83,1045,9767.2,
AA84,1086,10687.78,
AA85,1044,12685.21,
AA86,2168,23994.41667,
AA87,1130,11019.76,
AA88,1156,13037.51,
AA89,1602,15413.81,
AA9,1296,16476.15,
AA90,1044,10791.03,
AA91,1047,9670.76,
AA92,1258,4280,
